post_id;text;attachments;date;likes;comments;reposts;;
26941;друзья, делитесь любимыми кубиками из корпуса на канале Грибоедова;[{'type': 'photo', 'photo': {'album_id': -7, 'date': 1696959665, 'id': 457240702, 'owner_id': -30513532, 'access_key': '18f69de8f250834d28', 'post_id': 26927, 'sizes': [{'height': 75, 'type': 's', 'width': 73, 'url': 'https://sun9-53.userapi.com/s/v1/ig2/DhYBDmM0f-rymuE3G27Ngs9obyj6Z_d5UUkz5lBwkGFdD231CIOoTWanHp05H-qEXibAXowAeNP5wfVhSmaoK6EU.jpg?quality=95&as=32x33,48x49,72x73,108x110,160x163,240x245,360x368,480x490,540x551,640x653,719x734&from=bu&u=zjLcPpl3-AGjP8x-bJHAQ3cv1BtyDqo7UEJy9M48Ny8&cs=73x75'}, {'height': 130, 'type': 'm', 'width': 127, 'url': 'https://sun9-53.userapi.com/s/v1/ig2/DhYBDmM0f-rymuE3G27Ngs9obyj6Z_d5UUkz5lBwkGFdD231CIOoTWanHp05H-qEXibAXowAeNP5wfVhSmaoK6EU.jpg?quality=95&as=32x33,48x49,72x73,108x110,160x163,240x245,360x368,480x490,540x551,640x653,719x734&from=bu&u=zjLcPpl3-AGjP8x-bJHAQ3cv1BtyDqo7UEJy9M48Ny8&cs=127x130'}, {'height': 604, 'type': 'x', 'width': 592, 'url': 'https://sun9-53.userapi.com/s/v1/ig2/DhYBDmM0f-rymuE3G27Ngs9obyj6Z_d5UUkz5lBwkGFdD231CIOoTWanHp05H-qEXibAXowAeNP5wfVhSmaoK6EU.jpg?quality=95&as=32x33,48x49,72x73,108x110,160x163,240x245,360x368,480x490,540x551,640x653,719x734&from=bu&u=zjLcPpl3-AGjP8x-bJHAQ3cv1BtyDqo7UEJy9M48Ny8&cs=592x604'}, {'height': 734, 'type': 'y', 'width': 719, 'url': 'https://sun9-53.userapi.com/s/v1/ig2/DhYBDmM0f-rymuE3G27Ngs9obyj6Z_d5UUkz5lBwkGFdD231CIOoTWanHp05H-qEXibAXowAeNP5wfVhSmaoK6EU.jpg?quality=95&as=32x33,48x49,72x73,108x110,160x163,240x245,360x368,480x490,540x551,640x653,719x734&from=bu&u=zjLcPpl3-AGjP8x-bJHAQ3cv1BtyDqo7UEJy9M48Ny8&cs=719x734'}, {'height': 133, 'type': 'o', 'width': 130, 'url': 'https://sun9-53.userapi.com/s/v1/ig2/DhYBDmM0f-rymuE3G27Ngs9obyj6Z_d5UUkz5lBwkGFdD231CIOoTWanHp05H-qEXibAXowAeNP5wfVhSmaoK6EU.jpg?quality=95&as=32x33,48x49,72x73,108x110,160x163,240x245,360x368,480x490,540x551,640x653,719x734&from=bu&u=zjLcPpl3-AGjP8x-bJHAQ3cv1BtyDqo7UEJy9M48Ny8&cs=130x133'}, {'height': 204, 'type': 'p', 'width': 200, 'url': 'https://sun9-53.userapi.com/s/v1/ig2/DhYBDmM0f-rymuE3G27Ngs9obyj6Z_d5UUkz5lBwkGFdD231CIOoTWanHp05H-qEXibAXowAeNP5wfVhSmaoK6EU.jpg?quality=95&as=32x33,48x49,72x73,108x110,160x163,240x245,360x368,480x490,540x551,640x653,719x734&from=bu&u=zjLcPpl3-AGjP8x-bJHAQ3cv1BtyDqo7UEJy9M48Ny8&cs=200x204'}, {'height': 327, 'type': 'q', 'width': 320, 'url': 'https://sun9-53.userapi.com/s/v1/ig2/DhYBDmM0f-rymuE3G27Ngs9obyj6Z_d5UUkz5lBwkGFdD231CIOoTWanHp05H-qEXibAXowAeNP5wfVhSmaoK6EU.jpg?quality=95&as=32x33,48x49,72x73,108x110,160x163,240x245,360x368,480x490,540x551,640x653,719x734&from=bu&u=zjLcPpl3-AGjP8x-bJHAQ3cv1BtyDqo7UEJy9M48Ny8&cs=320x327'}, {'height': 521, 'type': 'r', 'width': 510, 'url': 'https://sun9-53.userapi.com/s/v1/ig2/DhYBDmM0f-rymuE3G27Ngs9obyj6Z_d5UUkz5lBwkGFdD231CIOoTWanHp05H-qEXibAXowAeNP5wfVhSmaoK6EU.jpg?quality=95&as=32x33,48x49,72x73,108x110,160x163,240x245,360x368,480x490,540x551,640x653,719x734&from=bu&u=zjLcPpl3-AGjP8x-bJHAQ3cv1BtyDqo7UEJy9M48Ny8&cs=510x521'}], 'text': 'Hi!', 'user_id': 100, 'web_view_token': 'cbf3bb51b302f18553', 'orig_photo': {'height': 734, 'type': 'base', 'url': 'https://sun9-53.userapi.com/s/v1/ig2/DhYBDmM0f-rymuE3G27Ngs9obyj6Z_d5UUkz5lBwkGFdD231CIOoTWanHp05H-qEXibAXowAeNP5wfVhSmaoK6EU.jpg?quality=95&as=32x33,48x49,72x73,108x110,160x163,240x245,360x368,480x490,540x551,640x653,719x734&from=bu&u=zjLcPpl3-AGjP8x-bJHAQ3cv1BtyDqo7UEJy9M48Ny8', 'width': 719}}, 'style': 'full'}];11.10.2023;336;16;88;;
36021;Если студента выселяют из общежития, а у того нет денежный средств на билет до дома. Предоставляет ли универ какую-либо мат помощь?;[];05.11.2024;0;0;3;;
36017;Всем привет! Есть ли шахматная комнада?;[];05.11.2024;0;1;0;;
36014;анон планирую поступать на межбак в 25 году, но услышала новость о замене егэ по английскому на обществознание на программах, связанных с экономикой и менеджментом. к слову, на межбак сейчас требуется английский, и сама я к нему готовлюсь, какого ваше мнение на этот счет? страшно, что англ запретят в последний момент(;[];05.11.2024;0;0;1;;
36009;2.11 на грибе, ориентировочно в 19:00 был утерян пригласительный билет на burnween 😭 если вы нашли поставьте лайк или отнесите на охрану;[];04.11.2024;9;0;2;;
36005;Анонимно, пожалуйста Очень  ищу ребят, которые ездили по мобильности с социологии Найду по лайкам/комментариям Спасибо!;[];04.11.2024;0;0;0;;
36003;;[];04.11.2024;0;0;2;;
36000;"анон Кто только поступил (первокурсники) на программу ""Политология и мировая политика"", отпишитесь, пожалуйста, в комментах, хочу пораспрашивать про обучение, расписание, язык и тд 🙏🙏🙏";[];04.11.2024;3;4;0;;
35991;отслеживают ли посещаемость по пропускам?;[];03.11.2024;0;2;0;;
35989;Если я слечу со стипендии, можно ли будет потом ее восстановить? И как?;[];03.11.2024;3;1;0;;
